feature_name,feature_label,feature_group,feature_family,task_specific,valid_task_types,language,task_type,cell_id,cell_label,paper_task_labels,paper_task_labels_display,datasets,applicable,valid_effect,min5_cell,robust_min10_cell,n_ad,n_hc,mean_ad,mean_hc,cohens_d,cohens_d_abs,direction,welch_p,anova_p,welch_bonferroni_p,anova_bonferroni_p,welch_significant_bonferroni,anova_significant_bonferroni,welch_rank,anova_rank,welch_top_5,anova_top_5,welch_top_10,anova_top_10,welch_top_20,anova_top_20,welch_top_50,anova_top_50,welch_top_100,anova_top_100
syn_obj_ratio,object ratio,syn,syntax,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,0.09692867263495913,0.10687870803642763,-0.18202475192682033,0.18202475192682033,lower_in_AD,0.30806228076407854,0.30079257612144866,1.0,1.0,False,False,135.0,133.0,False,False,False,False,False,False,False,False,False,False
syn_obl_ratio,obl ratio,syn,syntax,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,0.03413069185690134,0.03499546100125793,-0.029222462373259563,0.029222462373259563,lower_in_AD,0.8680407014111515,0.8678029557120366,1.0,1.0,False,False,207.0,207.0,False,False,False,False,False,False,False,False,False,False
syn_advmod_ratio,advmod ratio,syn,syntax,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,0.09801088206506918,0.1003114859941725,-0.031931948217215386,0.031931948217215386,lower_in_AD,0.8551114558692423,0.855676055477825,1.0,1.0,False,False,202.0,202.0,False,False,False,False,False,False,False,False,False,False
syn_amod_ratio,amod ratio,syn,syntax,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,0.019778141228175904,0.016542024698131777,0.10013701016715276,0.10013701016715276,higher_in_AD,0.5750916427640506,0.5686428649647255,1.0,1.0,False,False,176.0,175.0,False,False,False,False,False,False,False,False,False,False
syn_mean_dependency_length,mean dependency length,syn,syntax,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,2.2571553937554456,2.306571341487472,-0.07137412961038991,0.07137412961038991,lower_in_AD,0.6657316083867124,0.6844216537288064,1.0,1.0,False,False,183.0,184.0,False,False,False,False,False,False,False,False,False,False
syn_std_dependency_length,std dependency length,syn,syntax,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,1.6679502616534,1.9589864777723947,-0.31593924733281753,0.31593924733281753,lower_in_AD,0.08196114541563379,0.07366963533261875,1.0,1.0,False,False,80.0,77.0,False,False,False,False,False,False,False,False,True,True
syn_max_dependency_length,max dependency length,syn,syntax,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,8.328947368421053,9.596491228070175,-0.2336764066491158,0.2336764066491158,lower_in_AD,0.18781795280489472,0.18464143067100172,1.0,1.0,False,False,114.0,115.0,False,False,False,False,False,False,False,False,False,False
syn_mean_tree_depth,mean tree depth,syn,syntax,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,1.703302311432955,1.7791195921899743,-0.11216990840648601,0.11216990840648601,lower_in_AD,0.5039514889932136,0.5231807162838579,1.0,1.0,False,False,167.0,169.0,False,False,False,False,False,False,False,False,False,False
syn_max_tree_depth,max tree depth,syn,syntax,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,4.0131578947368425,4.105263157894737,-0.05926967740948982,0.05926967740948982,lower_in_AD,0.7268001753620692,0.7357085834797851,1.0,1.0,False,False,188.0,189.0,False,False,False,False,False,False,False,False,False,False
syn_mean_utterance_length_words,mean utterance length words,syn,syntax,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,9.278290268729574,9.571206425153793,-0.03382187923390721,0.03382187923390721,lower_in_AD,0.838562610689872,0.8472374374898035,1.0,1.0,False,False,199.0,200.0,False,False,False,False,False,False,False,False,False,False
