feature_name,f_score,p_value
ac_egemaps_slopev500_1500_sma3nz_stddevnorm,0.31710696169052127,0.5734191547085654
ac_egemaps_spectralfluxv_sma3nz_amean,0.30991115942906305,0.577801499013531
ac_egemaps_hammarbergindexv_sma3nz_amean,0.30682654390669345,0.5797005101272401
ac_rms_mean,0.29947275559371705,0.5842786201992491
syn_sconj_ratio,0.2957543454056409,0.5866213917541232
ac_egemaps_f3frequency_sma3nz_stddevnorm,0.2930130716475176,0.5883607737693473
ac_egemaps_spectralflux_sma3_amean,0.27647871207410873,0.599081050195232
ac_mfcc_2_mean,0.2736493088425722,0.6009563665196203
ac_egemaps_hammarbergindexv_sma3nz_stddevnorm,0.2568322408699076,0.6123647578683364
ac_egemaps_f3bandwidth_sma3nz_amean,0.2551297645622031,0.6135456717221679
ac_egemaps_meanvoicedsegmentlengthsec,0.24360078078202826,0.6216755668086437
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanrisingslope,0.24093645204907566,0.6235883258606565
ac_egemaps_loudness_sma3_percentile80_0,0.23879310352069463,0.6251366152321145
ac_mfcc_2_std,0.23737280886568568,0.6261673412562014
ac_egemaps_loudness_sma3_percentile50_0,0.2152737795095415,0.6427190502640301
ac_f0_std,0.21117491678788466,0.6459016305807566
ac_mfcc_3_std,0.19630850333934055,0.6577685487086745
ac_egemaps_slopev0_500_sma3nz_amean,0.18648032995838956,0.6659122138636246
ac_egemaps_loudness_sma3_percentile20_0,0.17774500915662872,0.6733669360544243
ac_mfcc_3_mean,0.1757257418279019,0.6751207744186969
ac_egemaps_hnrdbacf_sma3nz_stddevnorm,0.15560245329378367,0.693283035877958
ac_egemaps_mfcc3v_sma3nz_amean,0.14681900005164686,0.7016376299449816
ac_egemaps_f2bandwidth_sma3nz_amean,0.13970832757127044,0.7086136315081268
ac_mfcc_4_mean,0.13784865238576893,0.7104713510181808
ac_mfcc_1_mean,0.1376745074406305,0.7106460414858032
ac_zcr_std,0.1361002647529619,0.7122309500927636
syn_noun_verb_ratio,0.1302868071133543,0.7181757331875847
ac_rms_std,0.11974839364944026,0.7293465692989816
ac_egemaps_loudness_sma3_stddevfallingslope,0.11342747283139477,0.7363131400738951
lex_mattr_20,0.1109131290879886,0.7391443698516689
syn_nsubj_ratio,0.10987225049372942,0.7403268652459076
ac_egemaps_f1bandwidth_sma3nz_amean,0.09780641322528293,0.7545130404895024
ac_egemaps_logrelf0_h1_a3_sma3nz_stddevnorm,0.0822230292721547,0.7743389838760234
pause_filled_count,0.07787929744801975,0.7802231020208774
ac_egemaps_f1bandwidth_sma3nz_stddevnorm,0.05868528866292606,0.8086127278817793
ac_egemaps_mfcc1v_sma3nz_amean,0.040715987508582845,0.8401091369807534
pause_filled_per_100_words,0.03510726714727879,0.8513914463732225
ac_egemaps_f3amplitudelogrelf0_sma3nz_stddevnorm,0.03255740024708002,0.8568293538583874
ac_egemaps_mfcc3v_sma3nz_stddevnorm,0.030109979974769042,0.8622597513543563
pause_pause_to_word_ratio,0.028143346807374462,0.8667904465200369
ac_egemaps_mfcc2v_sma3nz_stddevnorm,0.02780320590341055,0.8675903978345586
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile20_0,0.023211313954045985,0.8789253218807284
ac_egemaps_loudness_sma3_amean,0.018321903412744766,0.8923431001087638
ac_egemaps_f2frequency_sma3nz_stddevnorm,0.014037113148645686,0.9057014284198075
ac_egemaps_f1amplitudelogrelf0_sma3nz_stddevnorm,0.013616841458439936,0.9071173099869952
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevrisingslope,0.010528268983633357,0.9182856373770396
ac_egemaps_shimmerlocaldb_sma3nz_stddevnorm,0.010366836070358083,0.9189123523169697
ac_egemaps_hnrdbacf_sma3nz_amean,0.005989946805071851,0.938317821714899
ac_egemaps_f2amplitudelogrelf0_sma3nz_stddevnorm,0.005614491805792605,0.9402785126116191
pause_long_ratio,0.0022537776953134676,0.9621405599291675
disc_adjacent_utterance_similarity_std,0.0014198350186232734,0.9699462983801032
ac_egemaps_alpharatiov_sma3nz_amean,0.0012660576701365746,0.971619704852219
ac_mfcc_4_std,0.0010340366493811015,0.9743507346845373
