run_name,subset,top_k,num_features,model_family,model_variant,accuracy,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc,language_code,language,ranking_method,ranking_description,tested_features,bonferroni_significant_features,fdr_significant_features
language_zh_all_rich,all_universal,all,192,rf,n200,0.8125,0.7314814814814814,0.7540479606476738,0.5,0.9629629629629628,0.8666666666666667,0.8967236467236468,0.8293988176906655,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,all,192,lr,c1,0.8125,0.7713675213675213,0.7793712079426365,0.6538461538461539,0.8888888888888888,0.7391304347826086,0.8881766381766382,0.8381089615276682,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,100,100,svm,linear_c1,0.8125,0.7613960113960114,0.7740538504989645,0.6153846153846154,0.9074074074074074,0.7619047619047619,0.8646723646723646,0.8155841663961982,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,100,100,lr,c1,0.8125,0.7613960113960114,0.7740538504989645,0.6153846153846154,0.9074074074074074,0.7619047619047619,0.8603988603988604,0.8184772724787542,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,50,50,lr,c1,0.8125,0.7613960113960114,0.7740538504989645,0.6153846153846154,0.9074074074074074,0.7619047619047619,0.8141025641025642,0.7823171346428702,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,100,100,rf,n200,0.7999999999999999,0.7122507122507122,0.7333333333333334,0.4615384615384615,0.9629629629629628,0.8571428571428571,0.88497150997151,0.8037373285611606,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,50,50,svm,linear_c1,0.7875,0.7329059829059829,0.7439276972321597,0.5769230769230769,0.8888888888888888,0.7142857142857143,0.7955840455840455,0.7394473489876285,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,20,20,rf,n200,0.7875,0.6730769230769231,0.6891428571428571,0.3461538461538461,1.0,1.0,0.7799145299145299,0.7435200574586831,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,all,192,dt,depth20,0.7875,0.7628205128205128,0.7601833891729853,0.6923076923076923,0.8333333333333334,0.6666666666666666,0.7628205128205129,0.5615384615384615,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,100,100,svm,rbf_c1,0.775,0.7336182336182336,0.7381818181818182,0.6153846153846154,0.8518518518518519,0.6666666666666666,0.836894586894587,0.7210603695845461,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,20,20,dt,depth20,0.775,0.7136752136752136,0.7254004576659039,0.5384615384615384,0.8888888888888888,0.7,0.7136752136752136,0.5269230769230768,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,50,50,rf,n200,0.7625000000000001,0.6445868945868947,0.6525714285714286,0.3076923076923077,0.9814814814814816,0.8888888888888888,0.8265669515669516,0.7299521361075246,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,20,20,svm,linear_c1,0.7625,0.6944444444444444,0.7062801932367149,0.5,0.8888888888888888,0.6842105263157895,0.801994301994302,0.7497460630689816,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,20,20,svm,rbf_c1,0.7625,0.6944444444444444,0.7062801932367149,0.5,0.8888888888888888,0.6842105263157895,0.7841880341880342,0.7405209179824164,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,20,20,lr,c1,0.75,0.6752136752136753,0.6865203761755485,0.4615384615384615,0.8888888888888888,0.6666666666666666,0.8297720797720798,0.7561215282766871,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,50,50,svm,rbf_c1,0.75,0.6951566951566952,0.7023809523809523,0.5384615384615384,0.8518518518518519,0.6363636363636364,0.7628205128205129,0.6596822568486356,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,all,192,svm,rbf_c1,0.7375,0.6858974358974359,0.6911196911196911,0.5384615384615384,0.8333333333333334,0.6086956521739131,0.868945868945869,0.7444130447175654,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,100,100,dt,depth20,0.7375,0.665954415954416,0.6753623188405797,0.4615384615384615,0.8703703703703703,0.631578947368421,0.665954415954416,0.466497975708502,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,10,10,lr,c1,0.7125,0.6474358974358975,0.6535492374317454,0.4615384615384615,0.8333333333333334,0.5714285714285714,0.7777777777777777,0.659207387102312,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,10,10,rf,n200,0.7125,0.6075498575498576,0.6100868828141555,0.3076923076923077,0.9074074074074074,0.6153846153846154,0.7425213675213675,0.5676870970183091,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,50,50,dt,depth20,0.7125,0.6673789173789173,0.6690052167656053,0.5384615384615384,0.7962962962962963,0.56,0.6673789173789173,0.4515384615384615,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,10,10,svm,rbf_c1,0.6875,0.628917378917379,0.6322853465710608,0.4615384615384615,0.7962962962962963,0.5217391304347826,0.6830484330484331,0.5874471802222243,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,10,10,dt,depth20,0.6875,0.628917378917379,0.6322853465710608,0.4615384615384615,0.7962962962962963,0.5217391304347826,0.628917378917379,0.4158026755852843,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,5,5,lr,c1,0.6625,0.6702279202279202,0.6465390279823269,0.6923076923076923,0.6481481481481481,0.4864864864864865,0.7578347578347578,0.5124198809987472,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,10,10,svm,linear_c1,0.65,0.5911680911680912,0.5927272727272728,0.4230769230769231,0.7592592592592593,0.4583333333333333,0.7464387464387465,0.5997619606646505,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,5,5,svm,linear_c1,0.65,0.670940170940171,0.638942617666022,0.7307692307692307,0.6111111111111112,0.475,0.7207977207977208,0.4521740968325078,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,5,5,dt,depth20,0.65,0.650997150997151,0.631336405529954,0.6538461538461539,0.6481481481481481,0.4722222222222222,0.6898148148148148,0.4948099415204678,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,5,5,svm,rbf_c1,0.625,0.6025641025641025,0.5943204868154158,0.5384615384615384,0.6666666666666666,0.4375,0.6574074074074074,0.4430742131350216,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
