feature_set,language_code,language,seed,ranking_method,top_k,num_features,pool_features,usable_features,welch_bonferroni_significant_features,test_rows,test_groups,model_family,accuracy,best_params,cv_accuracy
extended_excluding_task_specific,es,Spanish,44,anova,50,50,382,83,5,67,25,LR,0.7313432835820896,{'clf__C': 0.1},0.7333333333333334
extended_excluding_task_specific,es,Spanish,44,anova,100,83,382,83,5,67,25,RF,0.7313432835820896,{'clf__n_estimators': 200},0.6844444444444445
extended_excluding_task_specific,es,Spanish,44,anova,all,83,382,83,5,67,25,RF,0.7164179104477612,{'clf__n_estimators': 50},0.7022222222222222
extended_excluding_task_specific,es,Spanish,44,welch_bonferroni,5,5,382,83,5,67,25,DT,0.7611940298507462,{'clf__max_depth': 20},0.6755555555555555
extended_excluding_task_specific,es,Spanish,44,welch_bonferroni,10,10,382,83,5,67,25,SVM,0.7611940298507462,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.6755555555555556
extended_excluding_task_specific,es,Spanish,44,welch_bonferroni,20,20,382,83,5,67,25,SVM,0.7164179104477612,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.6844444444444445
extended_excluding_task_specific,es,Spanish,44,welch_bonferroni,50,50,382,83,5,67,25,LR,0.746268656716418,{'clf__C': 0.1},0.7244444444444444
extended_excluding_task_specific,es,Spanish,44,welch_bonferroni,100,83,382,83,5,67,25,RF,0.7313432835820896,{'clf__n_estimators': 200},0.6844444444444445
extended_excluding_task_specific,es,Spanish,44,welch_bonferroni,all,83,382,83,5,67,25,RF,0.7164179104477612,{'clf__n_estimators': 50},0.7022222222222222
extended_excluding_task_specific,zh,Chinese,44,anova,5,5,382,206,67,76,45,RF,0.7105263157894737,{'clf__n_estimators': 100},0.6884322678843227
extended_excluding_task_specific,zh,Chinese,44,anova,10,10,382,206,67,76,45,RF,0.7105263157894737,{'clf__n_estimators': 100},0.7435312024353121
extended_excluding_task_specific,zh,Chinese,44,anova,20,20,382,206,67,76,45,RF,0.8157894736842105,{'clf__n_estimators': 100},0.7408295281582953
extended_excluding_task_specific,zh,Chinese,44,anova,50,50,382,206,67,76,45,SVM,0.8421052631578947,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7462709284627093
extended_excluding_task_specific,zh,Chinese,44,anova,100,100,382,206,67,76,45,RF,0.8552631578947368,{'clf__n_estimators': 50},0.7407534246575342
extended_excluding_task_specific,zh,Chinese,44,anova,all,206,382,206,67,76,45,RF,0.868421052631579,{'clf__n_estimators': 50},0.7105403348554034
extended_excluding_task_specific,zh,Chinese,44,welch_bonferroni,5,5,382,206,67,76,45,DT,0.7105263157894737,{'clf__max_depth': 10},0.6937975646879756
extended_excluding_task_specific,zh,Chinese,44,welch_bonferroni,10,10,382,206,67,76,45,LR,0.75,{'clf__C': 0.1},0.6577625570776255
extended_excluding_task_specific,zh,Chinese,44,welch_bonferroni,20,20,382,206,67,76,45,LR,0.8157894736842105,{'clf__C': 10},0.668531202435312
extended_excluding_task_specific,zh,Chinese,44,welch_bonferroni,50,50,382,206,67,76,45,RF,0.868421052631579,{'clf__n_estimators': 100},0.7491628614916286
extended_excluding_task_specific,zh,Chinese,44,welch_bonferroni,100,100,382,206,67,76,45,RF,0.8552631578947368,{'clf__n_estimators': 200},0.7243531202435312
extended_excluding_task_specific,zh,Chinese,44,welch_bonferroni,all,206,382,206,67,76,45,RF,0.868421052631579,{'clf__n_estimators': 50},0.7105403348554034
extended_excluding_task_specific,el,Greek,44,anova,5,5,382,205,12,52,29,DT,0.6730769230769231,{'clf__max_depth': 10},0.6492424242424242
extended_excluding_task_specific,el,Greek,44,anova,10,10,382,205,12,52,29,SVM,0.6730769230769231,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7348484848484849
extended_excluding_task_specific,el,Greek,44,anova,20,20,382,205,12,52,29,RF,0.7884615384615384,{'clf__n_estimators': 100},0.7537878787878788
extended_excluding_task_specific,el,Greek,44,anova,50,50,382,205,12,52,29,RF,0.7307692307692307,{'clf__n_estimators': 200},0.7410984848484848
extended_excluding_task_specific,el,Greek,44,anova,100,100,382,205,12,52,29,LR,0.7692307692307693,{'clf__C': 0.1},0.6740530303030303
extended_excluding_task_specific,el,Greek,44,anova,all,205,382,205,12,52,29,RF,0.7307692307692307,{'clf__n_estimators': 50},0.7232954545454546
extended_excluding_task_specific,el,Greek,44,welch_bonferroni,5,5,382,205,12,52,29,DT,0.8076923076923077,{'clf__max_depth': 10},0.625189393939394
extended_excluding_task_specific,el,Greek,44,welch_bonferroni,10,10,382,205,12,52,29,SVM,0.7115384615384616,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7846590909090909
extended_excluding_task_specific,el,Greek,44,welch_bonferroni,20,20,382,205,12,52,29,RF,0.75,{'clf__n_estimators': 100},0.7346590909090909
extended_excluding_task_specific,el,Greek,44,welch_bonferroni,50,50,382,205,12,52,29,RF,0.7307692307692307,{'clf__n_estimators': 100},0.7164772727272728
extended_excluding_task_specific,el,Greek,44,welch_bonferroni,100,100,382,205,12,52,29,RF,0.75,{'clf__n_estimators': 200},0.7285984848484849
extended_excluding_task_specific,el,Greek,44,welch_bonferroni,all,205,382,205,12,52,29,RF,0.7307692307692307,{'clf__n_estimators': 50},0.7232954545454546
extended_excluding_task_specific,en,English,45,anova,5,5,382,208,40,472,381,LR,0.8135593220338984,{'clf__C': 1},0.7840914987460001
extended_excluding_task_specific,en,English,45,anova,10,10,382,208,40,472,381,RF,0.8453389830508474,{'clf__n_estimators': 50},0.8125198189627836
extended_excluding_task_specific,en,English,45,anova,20,20,382,208,40,472,381,RF,0.8305084745762712,{'clf__n_estimators': 50},0.7952982213381763
extended_excluding_task_specific,en,English,45,anova,50,50,382,208,40,472,381,RF,0.847457627118644,{'clf__n_estimators': 200},0.802322061748681
extended_excluding_task_specific,en,English,45,anova,100,100,382,208,40,472,381,RF,0.8538135593220338,{'clf__n_estimators': 50},0.783550981579175
extended_excluding_task_specific,en,English,45,anova,all,208,382,208,40,472,381,RF,0.847457627118644,{'clf__n_estimators': 50},0.7851610020467582
extended_excluding_task_specific,en,English,45,welch_bonferroni,5,5,382,208,40,472,381,RF,0.8389830508474576,{'clf__n_estimators': 50},0.8050159993081379
extended_excluding_task_specific,en,English,45,welch_bonferroni,10,10,382,208,40,472,381,RF,0.847457627118644,{'clf__n_estimators': 200},0.8135922050217648
extended_excluding_task_specific,en,English,45,welch_bonferroni,20,20,382,208,40,472,381,RF,0.8283898305084746,{'clf__n_estimators': 200},0.8065914266770446
extended_excluding_task_specific,en,English,45,welch_bonferroni,50,50,382,208,40,472,381,RF,0.8453389830508474,{'clf__n_estimators': 100},0.8033915650494393
extended_excluding_task_specific,en,English,45,welch_bonferroni,100,85,382,208,40,472,381,RF,0.8538135593220338,{'clf__n_estimators': 100},0.8001715241142724
extended_excluding_task_specific,en,English,45,welch_bonferroni,all,208,382,208,40,472,381,RF,0.847457627118644,{'clf__n_estimators': 50},0.7851610020467582
extended_excluding_task_specific,es,Spanish,45,anova,5,5,382,83,6,54,25,RF,0.7962962962962963,{'clf__n_estimators': 100},0.6809397163120567
extended_excluding_task_specific,es,Spanish,45,anova,10,10,382,83,6,54,25,DT,0.8148148148148148,{'clf__max_depth': 20},0.6218971631205674
