feature_set,language_code,language,seed,ranking_method,top_k,num_features,pool_features,usable_features,welch_bonferroni_significant_features,test_rows,test_groups,model_family,accuracy,best_params,cv_accuracy
full_feature_set,zh,Chinese,44,anova,100,100,474,225,68,76,45,RF,0.881578947368421,{'clf__n_estimators': 50},0.7216133942161339
full_feature_set,zh,Chinese,44,anova,all,225,474,225,68,76,45,RF,0.8421052631578947,{'clf__n_estimators': 50},0.7328006088280061
full_feature_set,zh,Chinese,44,welch_bonferroni,5,5,474,225,68,76,45,DT,0.7105263157894737,{'clf__max_depth': 10},0.6937975646879756
full_feature_set,zh,Chinese,44,welch_bonferroni,10,10,474,225,68,76,45,LR,0.75,{'clf__C': 0.1},0.6577625570776255
full_feature_set,zh,Chinese,44,welch_bonferroni,20,20,474,225,68,76,45,LR,0.8157894736842105,{'clf__C': 10},0.668531202435312
full_feature_set,zh,Chinese,44,welch_bonferroni,50,50,474,225,68,76,45,RF,0.868421052631579,{'clf__n_estimators': 50},0.7462709284627093
full_feature_set,zh,Chinese,44,welch_bonferroni,100,100,474,225,68,76,45,RF,0.868421052631579,{'clf__n_estimators': 50},0.7380517503805175
full_feature_set,zh,Chinese,44,welch_bonferroni,all,225,474,225,68,76,45,RF,0.8421052631578947,{'clf__n_estimators': 50},0.7328006088280061
full_feature_set,el,Greek,44,anova,5,5,474,258,10,52,29,DT,0.6730769230769231,{'clf__max_depth': 10},0.6492424242424242
full_feature_set,el,Greek,44,anova,10,10,474,258,10,52,29,SVM,0.6730769230769231,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7348484848484849
full_feature_set,el,Greek,44,anova,20,20,474,258,10,52,29,RF,0.7884615384615384,{'clf__n_estimators': 100},0.7537878787878788
full_feature_set,el,Greek,44,anova,50,50,474,258,10,52,29,RF,0.7884615384615384,{'clf__n_estimators': 100},0.7350378787878789
full_feature_set,el,Greek,44,anova,100,100,474,258,10,52,29,RF,0.8076923076923077,{'clf__n_estimators': 100},0.7418560606060607
full_feature_set,el,Greek,44,anova,all,258,474,258,10,52,29,SVM,0.8461538461538461,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7416666666666666
full_feature_set,el,Greek,44,welch_bonferroni,5,5,474,258,10,52,29,DT,0.8076923076923077,{'clf__max_depth': 10},0.625189393939394
full_feature_set,el,Greek,44,welch_bonferroni,10,10,474,258,10,52,29,SVM,0.7115384615384616,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7846590909090909
full_feature_set,el,Greek,44,welch_bonferroni,20,20,474,258,10,52,29,RF,0.75,{'clf__n_estimators': 100},0.7346590909090909
full_feature_set,el,Greek,44,welch_bonferroni,50,50,474,258,10,52,29,RF,0.7884615384615384,{'clf__n_estimators': 200},0.7471590909090909
full_feature_set,el,Greek,44,welch_bonferroni,100,100,474,258,10,52,29,RF,0.7884615384615384,{'clf__n_estimators': 200},0.7412878787878788
full_feature_set,el,Greek,44,welch_bonferroni,all,258,474,258,10,52,29,SVM,0.8461538461538461,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7416666666666666
full_feature_set,en,English,45,anova,5,5,474,251,48,472,381,LR,0.8135593220338984,{'clf__C': 1},0.7840914987460001
full_feature_set,en,English,45,anova,10,10,474,251,48,472,381,RF,0.8453389830508474,{'clf__n_estimators': 50},0.8125198189627836
full_feature_set,en,English,45,anova,20,20,474,251,48,472,381,LR,0.8432203389830508,{'clf__C': 10},0.7696258179826458
full_feature_set,en,English,45,anova,50,50,474,251,48,472,381,LR,0.8707627118644068,{'clf__C': 0.1},0.7551500475655107
full_feature_set,en,English,45,anova,100,100,474,251,48,472,381,RF,0.864406779661017,{'clf__n_estimators': 50},0.7540733373691948
full_feature_set,en,English,45,anova,all,251,474,251,48,472,381,RF,0.8580508474576272,{'clf__n_estimators': 50},0.7449465248349622
full_feature_set,en,English,45,welch_bonferroni,5,5,474,251,48,472,381,RF,0.8347457627118644,{'clf__n_estimators': 100},0.761535357029606
full_feature_set,en,English,45,welch_bonferroni,10,10,474,251,48,472,381,LR,0.8326271186440678,{'clf__C': 0.1},0.7835668367494018
full_feature_set,en,English,45,welch_bonferroni,20,20,474,251,48,472,381,RF,0.8538135593220338,{'clf__n_estimators': 200},0.7733503416068495
full_feature_set,en,English,45,welch_bonferroni,50,50,474,251,48,472,381,LR,0.8601694915254238,{'clf__C': 0.1},0.7599685779353685
full_feature_set,en,English,45,welch_bonferroni,100,100,474,251,48,472,381,LR,0.864406779661017,{'clf__C': 0.1},0.7374455879385395
full_feature_set,en,English,45,welch_bonferroni,all,251,474,251,48,472,381,RF,0.8580508474576272,{'clf__n_estimators': 50},0.7449465248349622
full_feature_set,es,Spanish,45,anova,5,5,474,99,13,54,25,SVM,0.7777777777777778,"{'clf__C': 0.1, 'clf__kernel': 'linear'}",0.7312056737588651
full_feature_set,es,Spanish,45,anova,10,10,474,99,13,54,25,LR,0.7777777777777778,{'clf__C': 0.1},0.7485815602836879
full_feature_set,es,Spanish,45,anova,20,20,474,99,13,54,25,RF,0.7777777777777778,{'clf__n_estimators': 200},0.7233156028368795
full_feature_set,es,Spanish,45,anova,50,50,474,99,13,54,25,SVM,0.8148148148148148,"{'clf__C': 1, 'clf__kernel': 'rbf'}",0.7144503546099291
full_feature_set,es,Spanish,45,anova,100,99,474,99,13,54,25,LR,0.7592592592592593,{'clf__C': 0.1},0.7232269503546098
full_feature_set,es,Spanish,45,anova,all,99,474,99,13,54,25,LR,0.7592592592592593,{'clf__C': 0.1},0.7232269503546098
full_feature_set,es,Spanish,45,welch_bonferroni,5,5,474,99,13,54,25,SVM,0.7777777777777778,"{'clf__C': 0.1, 'clf__kernel': 'linear'}",0.7227836879432624
full_feature_set,es,Spanish,45,welch_bonferroni,10,10,474,99,13,54,25,LR,0.7777777777777778,{'clf__C': 0.1},0.7318262411347517
full_feature_set,es,Spanish,45,welch_bonferroni,20,20,474,99,13,54,25,LR,0.7407407407407407,{'clf__C': 0.1},0.7526595744680851
full_feature_set,es,Spanish,45,welch_bonferroni,50,50,474,99,13,54,25,SVM,0.7962962962962963,"{'clf__C': 1, 'clf__kernel': 'rbf'}",0.7187056737588653
full_feature_set,es,Spanish,45,welch_bonferroni,100,92,474,99,13,54,25,LR,0.7592592592592593,{'clf__C': 0.1},0.7232269503546098
full_feature_set,es,Spanish,45,welch_bonferroni,all,99,474,99,13,54,25,LR,0.7592592592592593,{'clf__C': 0.1},0.7232269503546098
full_feature_set,zh,Chinese,45,anova,5,5,474,225,57,86,45,RF,0.7558139534883721,{'clf__n_estimators': 200},0.6684909456740443
full_feature_set,zh,Chinese,45,anova,10,10,474,225,57,86,45,RF,0.7558139534883721,{'clf__n_estimators': 50},0.65420523138833
full_feature_set,zh,Chinese,45,anova,20,20,474,225,57,86,45,RF,0.7906976744186046,{'clf__n_estimators': 200},0.6599195171026156
full_feature_set,zh,Chinese,45,anova,50,50,474,225,57,86,45,RF,0.8023255813953488,{'clf__n_estimators': 200},0.6941247484909456
full_feature_set,zh,Chinese,45,anova,100,100,474,225,57,86,45,RF,0.813953488372093,{'clf__n_estimators': 200},0.6941247484909456
full_feature_set,zh,Chinese,45,anova,all,225,474,225,57,86,45,RF,0.872093023255814,{'clf__n_estimators': 50},0.6857545271629778
full_feature_set,zh,Chinese,45,welch_bonferroni,5,5,474,225,57,86,45,RF,0.7674418604651163,{'clf__n_estimators': 100},0.6741649899396378
full_feature_set,zh,Chinese,45,welch_bonferroni,10,10,474,225,57,86,45,DT,0.7441860465116279,{'clf__max_depth': 20},0.6627766599597585
full_feature_set,zh,Chinese,45,welch_bonferroni,20,20,474,225,57,86,45,DT,0.8023255813953488,{'clf__max_depth': 20},0.6342857142857143
full_feature_set,zh,Chinese,45,welch_bonferroni,50,50,474,225,57,86,45,RF,0.7790697674418605,{'clf__n_estimators': 100},0.7196780684104628
full_feature_set,zh,Chinese,45,welch_bonferroni,100,100,474,225,57,86,45,RF,0.8255813953488372,{'clf__n_estimators': 100},0.7055130784708249
full_feature_set,zh,Chinese,45,welch_bonferroni,all,225,474,225,57,86,45,RF,0.872093023255814,{'clf__n_estimators': 50},0.6857545271629778
full_feature_set,el,Greek,45,anova,5,5,474,258,3,46,29,RF,0.782608695652174,{'clf__n_estimators': 50},0.674331550802139
full_feature_set,el,Greek,45,anova,10,10,474,258,3,46,29,SVM,0.8260869565217391,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7276292335115864
full_feature_set,el,Greek,45,anova,20,20,474,258,3,46,29,RF,0.8478260869565217,{'clf__n_estimators': 100},0.7458110516934046
full_feature_set,el,Greek,45,anova,50,50,474,258,3,46,29,RF,0.8478260869565217,{'clf__n_estimators': 100},0.7741532976827095
full_feature_set,el,Greek,45,anova,100,100,474,258,3,46,29,RF,0.8695652173913043,{'clf__n_estimators': 200},0.7631016042780748
full_feature_set,el,Greek,45,anova,all,258,474,258,3,46,29,RF,0.8695652173913043,{'clf__n_estimators': 100},0.7217468805704101
full_feature_set,el,Greek,45,welch_bonferroni,5,5,474,258,3,46,29,LR,0.7608695652173914,{'clf__C': 0.1},0.6975044563279857
full_feature_set,el,Greek,45,welch_bonferroni,10,10,474,258,3,46,29,RF,0.8043478260869565,{'clf__n_estimators': 100},0.7925133689839571
full_feature_set,el,Greek,45,welch_bonferroni,20,20,474,258,3,46,29,RF,0.7608695652173914,{'clf__n_estimators': 50},0.7568627450980392
full_feature_set,el,Greek,45,welch_bonferroni,50,50,474,258,3,46,29,RF,0.8478260869565217,{'clf__n_estimators': 200},0.7629233511586454
full_feature_set,el,Greek,45,welch_bonferroni,100,100,474,258,3,46,29,RF,0.8478260869565217,{'clf__n_estimators': 100},0.774331550802139
full_feature_set,el,Greek,45,welch_bonferroni,all,258,474,258,3,46,29,RF,0.8695652173913043,{'clf__n_estimators': 100},0.7217468805704101
