feature_name,feature_group,task_specific,valid_task_types,requires_text,requires_audio,language_dependent_tooling,description
ac_egemaps_mfcc3v_sma3nz_stddevnorm,ac,False,ALL,0,1,0,ac egemaps mfcc3v sma3nz stddevnorm
ac_egemaps_mfcc4v_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps mfcc4v sma3nz amean
ac_egemaps_mfcc4v_sma3nz_stddevnorm,ac,False,ALL,0,1,0,ac egemaps mfcc4v sma3nz stddevnorm
ac_egemaps_alpharatiouv_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps alpharatiouv sma3nz amean
ac_egemaps_hammarbergindexuv_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps hammarbergindexuv sma3nz amean
ac_egemaps_slopeuv0_500_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps slopeuv0 500 sma3nz amean
ac_egemaps_slopeuv500_1500_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps slopeuv500 1500 sma3nz amean
ac_egemaps_spectralfluxuv_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps spectralfluxuv sma3nz amean
ac_egemaps_loudnesspeakspersec,ac,False,ALL,0,1,0,ac egemaps loudnesspeakspersec
ac_egemaps_voicedsegmentspersec,ac,False,ALL,0,1,0,ac egemaps voicedsegmentspersec
ac_egemaps_meanvoicedsegmentlengthsec,ac,False,ALL,0,1,0,ac egemaps meanvoicedsegmentlengthsec
ac_egemaps_stddevvoicedsegmentlengthsec,ac,False,ALL,0,1,0,ac egemaps stddevvoicedsegmentlengthsec
ac_egemaps_meanunvoicedsegmentlength,ac,False,ALL,0,1,0,ac egemaps meanunvoicedsegmentlength
ac_egemaps_stddevunvoicedsegmentlength,ac,False,ALL,0,1,0,ac egemaps stddevunvoicedsegmentlength
ac_egemaps_equivalentsoundlevel_dbp,ac,False,ALL,0,1,0,ac egemaps equivalentsoundlevel dbp
ac_duration,ac,False,ALL,0,1,0,ac duration
ac_rms_mean,ac,False,ALL,0,1,0,ac rms mean
ac_rms_std,ac,False,ALL,0,1,0,ac rms std
ac_zcr_mean,ac,False,ALL,0,1,0,ac zcr mean
ac_zcr_std,ac,False,ALL,0,1,0,ac zcr std
ac_f0_mean,ac,False,ALL,0,1,0,ac f0 mean
