Loading manifest and rich feature table
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=5 model=dt:depth20 bal_acc=0.629 auroc=0.606
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=5 model=rf:n200 bal_acc=0.631 auroc=0.686
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=5 model=svm:linear_c1 bal_acc=0.627 auroc=0.672
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=5 model=svm:rbf_c1 bal_acc=0.667 auroc=0.710
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=10 model=lr:c1 bal_acc=0.666 auroc=0.703
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=10 model=dt:depth20 bal_acc=0.665 auroc=0.655
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=10 model=rf:n200 bal_acc=0.671 auroc=0.760
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=10 model=svm:linear_c1 bal_acc=0.659 auroc=0.712
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=10 model=svm:rbf_c1 bal_acc=0.704 auroc=0.755
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=20 model=lr:c1 bal_acc=0.690 auroc=0.722
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=20 model=dt:depth20 bal_acc=0.664 auroc=0.669
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=20 model=rf:n200 bal_acc=0.666 auroc=0.782
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=20 model=svm:linear_c1 bal_acc=0.688 auroc=0.738
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=20 model=svm:rbf_c1 bal_acc=0.727 auroc=0.773
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=50 model=lr:c1 bal_acc=0.723 auroc=0.796
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=50 model=dt:depth20 bal_acc=0.635 auroc=0.635
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=50 model=rf:n200 bal_acc=0.679 auroc=0.820
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=50 model=svm:linear_c1 bal_acc=0.731 auroc=0.789
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=50 model=svm:rbf_c1 bal_acc=0.748 auroc=0.819
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=100 model=lr:c1 bal_acc=0.707 auroc=0.763
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=100 model=dt:depth20 bal_acc=0.691 auroc=0.697
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=100 model=rf:n200 bal_acc=0.659 auroc=0.843
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=100 model=svm:linear_c1 bal_acc=0.720 auroc=0.766
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=100 model=svm:rbf_c1 bal_acc=0.704 auroc=0.809
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=all model=lr:c1 bal_acc=0.744 auroc=0.790
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=all model=dt:depth20 bal_acc=0.666 auroc=0.658
